episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
39,e39-h4-h9-g3,h4,h9,31.1,86.481,0.105,1.2,-0.1770465454545454
40,e40-h1-h12-g0,h1,h12,47.7,98.194,0.176,2.0,-0.21071672727272725
40,e40-h2-h11-g1,h2,h11,57.2,113.285,0.175,2.4,-0.24361999999999995
40,e40-h3-h10-g2,h3,h10,27.6,82.226,0.138,1.2,-0.1750981818181818
40,e40-h4-h9-g3,h4,h9,27.6,78.2695,0.119,1.0,-0.15707118181818178
41,e41-h1-h12-g0,h1,h12,19.1,78.646,0.0,0.0,-0.12256472727272728
41,e41-h2-h11-g1,h2,h11,18.3,67.945,0.247,0.13,-0.11059927272727271
41,e41-h3-h10-g2,h3,h10,10.6,70.701,0.0,0.0,-0.12212927272727273
41,e41-h4-h9-g3,h4,h9,30.9,101.115,0.365,0.13,-0.1547381818181818
42,e42-h1-h12-g0,h1,h12,9.91,76.79400000000001,0.304,0.14,-0.1443938181818182
42,e42-h2-h11-g1,h2,h11,54.1,132.7985,0.0,0.0,-0.1672333636363636
42,e42-h3-h10-g2,h3,h10,15.8,110.389,0.101,0.53,-0.21915672727272723
42,e42-h4-h9-g3,h4,h9,25.7,85.06049999999999,0.121,0.99,-0.1736197272727273
43,e43-h1-h12-g0,h1,h12,18.8,61.868,0.069,0.6,-0.11996818181818181
43,e43-h2-h11-g1,h2,h11,58.8,98.397,0.077,2.4,-0.21034690909090908
43,e43-h3-h10-g2,h3,h10,10.6,57.683499999999995,0.092,0.12,-0.10264627272727272
43,e43-h4-h9-g3,h4,h9,16.7,58.5565,0.066,0.56,-0.11514536363636362
44,e44-h1-h12-g0,h1,h12,9.11,60.1215,0.112,0.13,-0.11085136363636364
44,e44-h2-h11-g1,h2,h11,44.9,79.388,0.067,1.7,-0.16254163636363636
44,e44-h3-h10-g2,h3,h10,18.0,74.0125,0.067,0.55,-0.14319972727272726
44,e44-h4-h9-g3,h4,h9,55.3,108.51500000000001,0.087,2.3,-0.23200654545454547
45,e45-h1-h12-g0,h1,h12,9.46,59.528000000000006,0.091,0.12,-0.10840200000000001
45,e45-h2-h11-g1,h2,h11,34.2,72.042,0.067,1.4,-0.15230418181818178
45,e45-h3-h10-g2,h3,h10,51.8,89.5065,0.072,2.2,-0.1952631818181818
45,e45-h4-h9-g3,h4,h9,41.2,55.675,0.139,0.13,-0.04377490909090908
46,e46-h1-h12-g0,h1,h12,25.2,60.495000000000005,0.108,0.11,-0.0813198181818182
46,e46-h2-h11-g1,h2,h11,21.8,55.0385,0.092,0.1,-0.07599263636363636
46,e46-h3-h10-g2,h3,h10,20.5,62.251000000000005,0.066,0.77,-0.12612527272727272
46,e46-h4-h9-g3,h4,h9,9.09,58.629999999999995,0.092,0.093,-0.10593472727272726
47,e47-h1-h12-g0,h1,h12,23.0,56.686,0.111,0.13,-0.0787198181818182
47,e47-h2-h11-g1,h2,h11,35.1,69.996,0.067,1.6,-0.15657581818181815
47,e47-h3-h10-g2,h3,h10,51.9,91.0745,0.069,2.3,-0.20319936363636362
47,e47-h4-h9-g3,h4,h9,18.4,57.589,0.115,0.14,-0.08941345454545455
48,e48-h1-h12-g0,h1,h12,12.0,58.9095,0.11,0.13,-0.10316081818181819
48,e48-h2-h11-g1,h2,h11,26.4,63.3015,0.067,1.0,-0.12900499999999998
48,e48-h3-h10-g2,h3,h10,15.9,62.964,0.081,0.2,-0.10750490909090907
