episode,flow_id,src,dst,throughput_mbps,rtt_ms,jitter_ms,loss_pct,absolute_reward
62,e62-h2-h15-g1,h2,h15,22.8,81.57,0.079,0.99,-0.01336233333333332
63,e63-h1-h16-g0,h1,h16,14.4,80.8565,0.082,0.59,-0.025609899999999998
63,e63-h2-h15-g1,h2,h15,15.9,80.0935,0.139,0.12,-0.014939766666666663
64,e64-h1-h16-g0,h1,h16,8.16,82.6305,0.127,0.11,-0.03347596666666666
64,e64-h2-h15-g1,h2,h15,14.2,85.23400000000001,0.138,0.14,-0.022098844444444453
65,e65-h1-h16-g0,h1,h16,7.44,82.2875,0.129,0.16,-0.03562616666666666
65,e65-h2-h15-g1,h2,h15,14.6,79.2185,0.078,0.61,-0.024470655555555557
66,e66-h1-h16-g0,h1,h16,13.6,81.563,0.08,0.7,-0.029455577777777773
66,e66-h2-h15-g1,h2,h15,15.4,86.028,0.086,0.72,-0.028452577777777772
67,e67-h1-h16-g0,h1,h16,15.1,82.5135,0.088,0.67,-0.02626654444444444
67,e67-h2-h15-g1,h2,h15,27.6,90.3115,0.081,1.3,-0.012596566666666646
68,e68-h1-h16-g0,h1,h16,22.9,85.3745,0.084,0.91,-0.01423781111111109
68,e68-h2-h15-g1,h2,h15,21.5,82.6665,0.08,1.1,-0.018562122222222224
69,e69-h1-h16-g0,h1,h16,26.0,85.0355,0.077,1.3,-0.012974522222222224
69,e69-h2-h15-g1,h2,h15,13.4,85.6405,0.088,0.59,-0.03072052222222222
70,e70-h1-h16-g0,h1,h16,7.68,82.2915,0.137,0.17,-0.03526923333333333
70,e70-h2-h15-g1,h2,h15,12.4,84.564,0.082,0.59,-0.032278844444444434
71,e71-h1-h16-g0,h1,h16,26.3,89.8965,0.084,1.1,-0.012245455555555559
71,e71-h2-h15-g1,h2,h15,7.76,79.15100000000001,0.109,0.19,-0.03342315555555556
72,e72-h1-h16-g0,h1,h16,14.5,81.4825,0.085,0.68,-0.027122277777777766
72,e72-h2-h15-g1,h2,h15,16.0,80.956,0.081,0.73,-0.024211044444444448
73,e73-h1-h16-g0,h1,h16,8.27,92.05199999999999,0.201,0.13,-0.039406422222222216
73,e73-h2-h15-g1,h2,h15,8.02,81.0435,0.126,0.12,-0.03298187777777777
74,e74-h1-h16-g0,h1,h16,27.9,88.471,0.085,1.3,-0.010837600000000001
74,e74-h2-h15-g1,h2,h15,15.4,85.325,0.084,0.69,-0.027574777777777764
75,e75-h1-h16-g0,h1,h16,14.6,78.67949999999999,0.08,0.71,-0.02565325555555554
75,e75-h2-h15-g1,h2,h15,14.8,77.07,0.14,0.19,-0.016623111111111106
76,e76-h1-h16-g0,h1,h16,7.78,91.47749999999999,0.158,0.16,-0.0404716111111111
76,e76-h2-h15-g1,h2,h15,7.34,82.559,0.123,0.19,-0.03644328888888888
77,e77-h1-h16-g0,h1,h16,15.8,80.05699999999999,0.081,0.72,-0.023966088888888876
77,e77-h2-h15-g1,h2,h15,16.8,79.0855,0.132,0.19,-0.013363966666666659
78,e78-h1-h16-g0,h1,h16,10.7,82.7585,0.151,0.13,-0.02828032222222222
78,e78-h2-h15-g1,h2,h15,10.6,81.5095,0.139,0.16,-0.028167144444444438
79,e79-h1-h16-g0,h1,h16,6.79,80.3775,0.118,0.29,-0.037841611111111104
79,e79-h2-h15-g1,h2,h15,6.78,85.5075,0.111,0.17,-0.03912083333333333
80,e80-h1-h16-g0,h1,h16,21.6,82.92099999999999,0.08,0.89,-0.015342599999999986
80,e80-h2-h15-g1,h2,h15,11.0,82.1885,0.121,0.093,-0.02662665555555556
81,e81-h1-h16-g0,h1,h16,7.24,81.8055,0.116,0.12,-0.035142411111111105
81,e81-h2-h15-g1,h2,h15,13.6,87.47,0.079,0.58,-0.03119677777777777
82,e82-h1-h16-g0,h1,h16,28.5,89.333,0.083,1.4,-0.011515466666666654
82,e82-h2-h15-g1,h2,h15,8.12,82.8115,0.139,0.11,-0.03370945555555556
83,e83-h1-h16-g0,h1,h16,7.46,87.72749999999999,0.113,0.091,-0.03776272222222221
83,e83-h2-h15-g1,h2,h15,8.44,80.1945,0.116,0.095,-0.031134144444444442
84,e84-h1-h16-g0,h1,h16,8.43,82.251,0.116,0.097,-0.03242026666666667
84,e84-h2-h15-g1,h2,h15,14.7,80.057,0.079,0.61,-0.02475453333333333
85,e85-h1-h16-g0,h1,h16,13.1,87.25800000000001,0.143,0.1,-0.025172688888888895
85,e85-h2-h15-g1,h2,h15,7.17,85.44200000000001,0.189,0.11,-0.037548866666666667
86,e86-h1-h16-g0,h1,h16,8.03,82.5715,0.0,0.0,-0.03169845555555556
86,e86-h2-h15-g1,h2,h15,8.13,90.82,0.292,0.12,-0.039101333333333335
87,e87-h1-h16-g0,h1,h16,27.0,90.549,0.086,1.3,-0.014087400000000002
87,e87-h2-h15-g1,h2,h15,15.3,83.1865,0.083,0.72,-0.02696089999999999
88,e88-h1-h16-g0,h1,h16,17.7,79.2825,0.123,0.077,-0.009760166666666662
88,e88-h2-h15-g1,h2,h15,7.84,79.362,0.12,0.093,-0.03194997777777776
89,e89-h1-h16-g0,h1,h16,11.2,82.173,0.0,0.0,-0.024414911111111104
89,e89-h2-h15-g1,h2,h15,11.7,78.4765,0.12,0.087,-0.022750900000000004
90,e90-h1-h16-g0,h1,h16,7.82,81.3295,0.125,0.093,-0.033189922222222216
90,e90-h2-h15-g1,h2,h15,26.6,86.486,0.081,1.2,-0.011023488888888888
91,e91-h1-h16-g0,h1,h16,15.2,86.5315,0.083,0.56,-0.026790122222222216
