episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
29,e29-h1-h5-g0,h1,h5,2026-05-28 09:05:49.613349+00:00,4.0,24.336,0.128,0.61,-0.158,87,-0.18595,h1,h5,-0.158,-0.0225356
30,e30-h2-h4-g1,h2,h4,2026-05-28 09:06:21.015021+00:00,3.57,21.69,0.116,0.66,-0.164,88,-0.18425,h2,h4,-0.164,-0.021834
30,e30-h1-h4-g2,h1,h4,2026-05-28 09:06:21.569516+00:00,4.23,23.936500000000002,0.123,0.71,-0.16,89,-0.1834,h1,h4,-0.16,-0.0236889
30,e30-h1-h5-g0,h1,h5,2026-05-28 09:06:22.690188+00:00,3.61,21.5935,0.126,0.65,-0.171,90,-0.18375,h1,h5,-0.171,-0.021640099999999995
31,e31-h1-h5-g0,h1,h5,2026-05-28 09:06:55.844608+00:00,5.95,38.5865,0.131,0.85,-0.368,91,-0.19185,h1,h5,-0.368,-0.0339149
31,e31-h1-h4-g2,h1,h4,2026-05-28 09:06:56.232440+00:00,5.95,25.782,0.117,1.2,-0.191,92,-0.19265000000000002,h1,h4,-0.191,-0.0314402
31,e31-h2-h4-g1,h2,h4,2026-05-28 09:06:56.233236+00:00,5.17,33.919000000000004,0.371,1.1,-0.366,93,-0.20145,h2,h4,-0.366,-0.0358964
32,e32-h1-h5-g0,h1,h5,2026-05-28 09:07:28.511362+00:00,5.59,25.765,0.115,1.5,-0.226,94,-0.20179999999999998,h1,h5,-0.226,-0.036067999999999996
32,e32-h1-h4-g2,h1,h4,2026-05-28 09:07:29.184508+00:00,4.05,21.621000000000002,0.13,0.94,-0.18,95,-0.20140000000000002,h1,h4,-0.18,-0.0258426
32,e32-h2-h4-g1,h2,h4,2026-05-28 09:07:30.121785+00:00,6.93,26.227,0.107,0.63,-0.16,96,-0.19905,h2,h4,-0.16,-0.022735199999999997
33,e33-h1-h4-g2,h1,h4,2026-05-28 09:08:01.852012+00:00,3.65,26.838,0.173,0.71,-0.161,97,-0.19785000000000003,h1,h4,-0.161,-0.0258118
33,e33-h2-h4-g1,h2,h4,2026-05-28 09:08:02.591133+00:00,4.05,22.3045,0.113,0.69,-0.164,98,-0.19820000000000002,h2,h4,-0.164,-0.022451699999999998
33,e33-h1-h5-g0,h1,h5,2026-05-28 09:08:02.846545+00:00,3.7,23.2535,0.111,0.72,-0.175,99,-0.19770000000000001,h1,h5,-0.175,-0.023605099999999997
