state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.221,-0.221,-0.201,-0.071,-0.104,5,130
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.178,-0.178,-0.234,0.0,-0.039,1,131
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss2')",3,-0.178,-0.178,-0.234,0.0,-0.039,1,132
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.195,-0.195,-0.2,-0.041,-0.075,2,133
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss2')",3,-0.195,-0.195,-0.2,-0.041,-0.075,2,134
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.183,-0.183,-0.232,-0.039,-0.071,7,135
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.183,-0.183,-0.232,-0.039,-0.071,7,136
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.188,-0.188,-0.2,0.0,-0.041,2,137
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.188,-0.188,-0.2,0.0,-0.041,2,138
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.204,-0.204,-0.201,-0.074,-0.103,8,139
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.204,-0.204,-0.201,-0.074,-0.103,8,140
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.261,-0.261,-0.233,-0.072,-0.114,6,141
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.261,-0.261,-0.233,-0.072,-0.114,6,142
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.28,-0.28,-0.203,-0.076,-0.121,4,143
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.28,-0.28,-0.203,-0.076,-0.121,4,144
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss6')",3,-0.192,-0.192,-0.203,0.0,-0.042,1,145
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss6')",3,-0.192,-0.192,-0.203,0.0,-0.042,1,146
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss6')",3,-0.407,-0.407,-0.24,0.0,-0.09,1,147
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss6')",3,-0.407,-0.407,-0.24,0.0,-0.09,1,148
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.338,-0.338,-0.207,-0.103,-0.155,9,149
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.338,-0.338,-0.207,-0.103,-0.155,9,150
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.196,-0.196,-0.239,0.0,-0.043,2,151
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",4,-0.196,-0.196,-0.239,0.0,-0.043,2,152
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.195,-0.195,-0.202,0.0,-0.043,6,153
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss1')",3,-0.195,-0.195,-0.202,0.0,-0.043,6,154
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.187,-0.187,-0.206,-0.155,-0.162,11,155
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.187,-0.187,-0.206,-0.155,-0.162,11,156
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.306,-0.306,-0.207,0.0,-0.067,2,157
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss1')",3,-0.306,-0.306,-0.207,0.0,-0.067,2,158
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.293,-0.293,-0.241,-0.045,-0.099,3,159
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss2')",3,-0.293,-0.293,-0.241,-0.045,-0.099,3,160
"('h1', 'h4', 'util2', 'active0', 'rtt1', 'loss1')",4,-0.192,-0.192,-0.239,0.0,-0.042,1,161
"('h4', 'h1', 'util2', 'active0', 'rtt1', 'loss1')",4,-0.192,-0.192,-0.239,0.0,-0.042,1,162
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.181,-0.181,-0.205,-0.089,-0.109,8,163
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.181,-0.181,-0.205,-0.089,-0.109,8,164
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.181,-0.181,-0.206,-0.076,-0.099,4,165
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.181,-0.181,-0.206,-0.076,-0.099,4,166
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.192,-0.192,-0.204,-0.104,-0.123,6,167
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.192,-0.192,-0.204,-0.104,-0.123,6,168
"('h1', 'h4', 'util4', 'active1', 'rtt0', 'loss2')",3,-0.181,-0.181,-0.236,0.0,-0.04,1,169
"('h4', 'h1', 'util4', 'active1', 'rtt0', 'loss2')",3,-0.181,-0.181,-0.236,0.0,-0.04,1,170
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.304,-0.304,-0.208,-0.103,-0.147,9,171
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss1')",4,-0.304,-0.304,-0.208,-0.103,-0.147,9,172
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.297,-0.297,-0.209,-0.095,-0.139,4,173
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss1')",3,-0.297,-0.297,-0.209,-0.095,-0.139,4,174
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.187,-0.187,-0.234,-0.043,-0.074,4,175
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.187,-0.187,-0.234,-0.043,-0.074,4,176
"('h1', 'h5', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.207,0.0,-0.04,2,177
"('h5', 'h1', 'util3', 'active1', 'rtt0', 'loss2')",3,-0.18,-0.18,-0.207,0.0,-0.04,2,178
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss1')",3,-0.185,-0.185,-0.208,-0.036,-0.069,6,179
