state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.106,0.04,-0.121,0.039,0.04,7,107
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.106,0.04,-0.121,0.039,0.04,7,108
"('h1', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.123,-0.029,-0.051,6,109
"('h4', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.129,-0.129,-0.123,-0.029,-0.051,6,110
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.118,-0.002,-0.118,0.0,-0.0,2,111
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.118,-0.002,-0.118,0.0,-0.0,2,112
"('h2', 'h4', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.121,0.0,-0.028,2,113
"('h4', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.121,0.0,-0.028,2,114
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.126,-0.126,-0.118,0.007,-0.022,10,115
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.126,-0.126,-0.118,0.007,-0.022,10,116
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.099,0.058,-0.122,0.0,0.013,6,117
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.099,0.058,-0.122,0.0,0.013,6,118
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.096,0.063,-0.12,0.016,0.026,3,119
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.096,0.063,-0.12,0.016,0.026,3,120
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.118,0.0,-0.028,3,121
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.118,0.0,-0.028,3,122
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.109,0.029,-0.12,0.012,0.016,4,123
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.109,0.029,-0.12,0.012,0.016,4,124
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.094,0.069,-0.121,0.017,0.028,4,125
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.094,0.069,-0.121,0.017,0.028,4,126
"('h1', 'h5', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.133,-0.133,-0.119,0.0,-0.029,3,127
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.133,-0.133,-0.119,0.0,-0.029,3,128
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.12,-0.05,-0.067,3,129
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.127,-0.127,-0.12,-0.05,-0.067,3,130
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.099,0.054,-0.12,0.021,0.028,3,131
