episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
26,e26-h1-h5-g0,h1,h5,2026-05-28 00:15:27.466059+00:00,5.06,24.941,0.115,1.1,-0.174,76,-0.24359999999999998,h1,h5,-0.174,-0.057665
26,e26-h1-h4-g2,h1,h4,2026-05-28 00:15:27.946509+00:00,4.92,24.15,0.122,1.2,-0.179,77,-0.24255,h1,h4,-0.179,-0.059902
26,e26-h2-h4-g1,h2,h4,2026-05-28 00:15:27.947577+00:00,4.19,22.9535,0.122,0.64,-0.142,78,-0.2407,h2,h4,-0.142,-0.0419785
27,e27-h1-h4-g2,h1,h4,2026-05-28 00:16:01.045904+00:00,3.6,30.7415,0.114,0.75,-0.168,79,-0.2419,h1,h4,-0.168,-0.0531095
27,e27-h1-h5-g0,h1,h5,2026-05-28 00:16:01.047533+00:00,3.67,31.5925,0.117,0.78,-0.286,80,-0.24925000000000003,h1,h5,-0.286,-0.054859500000000005
27,e27-h2-h4-g1,h2,h4,2026-05-28 00:16:01.048128+00:00,7.47,39.967,0.222,1.2,-0.27,81,-0.24155,h2,h4,-0.27,-0.075664
28,e28-h2-h4-g1,h2,h4,2026-05-28 00:16:33.862781+00:00,6.07,22.895000000000003,0.116,0.98,-0.176,82,-0.2278,h2,h4,-0.176,-0.05192
28,e28-h1-h4-g2,h1,h4,2026-05-28 00:16:33.863591+00:00,3.49,24.627000000000002,0.114,0.66,-0.161,83,-0.22774999999999998,h1,h4,-0.161,-0.044306000000000005
28,e28-h1-h5-g0,h1,h5,2026-05-28 00:16:33.864358+00:00,3.77,26.183,0.119,0.57,-0.159,84,-0.22444999999999998,h1,h5,-0.159,-0.043144
29,e29-h1-h4-g2,h1,h4,2026-05-28 00:17:05.109455+00:00,3.37,24.971,0.115,0.61,-0.17,85,-0.22385000000000002,h1,h4,-0.17,-0.043164
29,e29-h2-h4-g1,h2,h4,2026-05-28 00:17:05.972843+00:00,3.68,21.9755,0.116,0.79,-0.166,86,-0.22375000000000003,h2,h4,-0.166,-0.0455395
29,e29-h1-h5-g0,h1,h5,2026-05-28 00:17:05.973786+00:00,3.59,28.3915,0.129,0.59,-0.167,87,-0.22490000000000002,h1,h5,-0.167,-0.0459905
30,e30-h2-h4-g1,h2,h4,2026-05-28 00:17:38.428894+00:00,4.53,162.7905,1.859,0.92,-0.527,88,-0.24100000000000002,h2,h4,-0.527,-0.150865
30,e30-h1-h4-g2,h1,h4,2026-05-28 00:17:38.429949+00:00,3.65,124.021,0.148,0.75,-0.519,89,-0.25805,h1,h4,-0.519,-0.142431
30,e30-h1-h5-g0,h1,h5,2026-05-28 00:17:38.837394+00:00,4.42,94.56049999999999,1.679,0.96,-0.516,90,-0.2753,h1,h5,-0.516,-0.12627649999999999
31,e31-h1-h5-g0,h1,h5,2026-05-28 00:18:11.453389+00:00,4.85,35.8385,0.121,0.88,-0.207,91,-0.27690000000000003,h1,h5,-0.207,-0.061995499999999995
31,e31-h1-h4-g2,h1,h4,2026-05-28 00:18:11.970459+00:00,4.65,38.0545,0.117,0.98,-0.35,92,-0.2873,h1,h4,-0.35,-0.06722349999999999
31,e31-h2-h4-g1,h2,h4,2026-05-28 00:18:11.971338+00:00,4.6,23.645000000000003,0.456,1.1,-0.174,93,-0.27025,h2,h4,-0.174,-0.05709700000000001
32,e32-h1-h5-g0,h1,h5,2026-05-28 00:18:44.267572+00:00,4.48,45.373,0.304,1.1,-0.448,94,-0.27135,h1,h5,-0.448,-0.07853299999999999
32,e32-h1-h4-g2,h1,h4,2026-05-28 00:18:44.268918+00:00,3.59,31.269999999999996,0.303,0.81,-0.148,95,-0.25535,h1,h4,-0.148,-0.05581699999999999
32,e32-h2-h4-g1,h2,h4,2026-05-28 00:18:44.270040+00:00,4.42,38.107,0.117,0.79,-0.172,96,-0.25525000000000003,h2,h4,-0.172,-0.061599
33,e33-h1-h4-g2,h1,h4,2026-05-28 00:19:15.465082+00:00,3.69,28.6965,0.133,0.81,-0.169,97,-0.25475,h1,h4,-0.169,-0.052893499999999996
33,e33-h2-h4-g1,h2,h4,2026-05-28 00:19:16.549775+00:00,3.62,22.238500000000002,0.119,0.66,-0.144,98,-0.25484999999999997,h2,h4,-0.144,-0.0419145
33,e33-h1-h5-g0,h1,h5,2026-05-28 00:19:16.550100+00:00,3.51,25.752000000000002,0.116,0.65,-0.172,99,-0.25505,h1,h5,-0.172,-0.045133000000000006
