episode,flow_id,src_x,dst_x,timestamp,throughput_mbps,rtt_ms,jitter_ms,loss_pct,weighted_reward,decision,reward_rolling_mean,src_y,dst_y,controller_weighted_reward,computed_weighted_reward
28,e28-h1-h4-g2,h1,h4,2026-05-27 13:26:16.587793+00:00,95.4,37.535,0.032,0.047,-0.119,83,-0.06615,h1,h4,-0.119,-0.029469000000000002
28,e28-h1-h5-g0,h1,h5,2026-05-27 13:26:49.216498+00:00,95.4,38.952,0.018,0.026,-0.11,84,-0.0687,h1,h5,-0.11,-0.030228
29,e29-h1-h4-g2,h1,h4,2026-05-27 13:28:23.892190+00:00,95.4,37.792500000000004,0.025,0.039,-0.068,85,-0.06845,h1,h4,-0.068,-0.02947250000000001
29,e29-h2-h4-g1,h2,h4,2026-05-27 13:29:28.260688+00:00,95.4,26.414,0.01,0.0096,-0.055,86,-0.06789999999999999,h2,h4,-0.055,-0.017182
29,e29-h1-h5-g0,h1,h5,2026-05-27 13:30:00.070537+00:00,95.3,30.47,0.057,0.057,-0.053,87,-0.065,h1,h5,-0.053,-0.022764
30,e30-h2-h4-g1,h2,h4,2026-05-27 13:31:34.306808+00:00,95.4,27.5595,0.026,0.043,-0.054,88,-0.06459999999999999,h2,h4,-0.054,-0.0193615
30,e30-h1-h4-g2,h1,h4,2026-05-27 13:32:07.276373+00:00,95.4,27.429499999999997,0.024,0.042,-0.055,89,-0.0641,h1,h4,-0.055,-0.019197499999999996
30,e30-h1-h5-g0,h1,h5,2026-05-27 13:33:12.168823+00:00,95.3,28.2485,0.033,0.036,-0.055,90,-0.06420000000000001,h1,h5,-0.055,-0.0198645
31,e31-h1-h5-g0,h1,h5,2026-05-27 13:34:15.405891+00:00,95.3,29.3235,0.035,0.039,-0.074,91,-0.06435,h1,h5,-0.074,-0.0210335
31,e31-h1-h4-g2,h1,h4,2026-05-27 13:35:51.477970+00:00,95.4,26.906,0.023,0.041,-0.064,92,-0.06465000000000001,h1,h4,-0.064,-0.018642
31,e31-h2-h4-g1,h2,h4,2026-05-27 13:36:22.765490+00:00,95.4,27.6845,0.023,0.041,-0.068,93,-0.0653,h2,h4,-0.068,-0.0194205
32,e32-h1-h5-g0,h1,h5,2026-05-27 13:37:56.587490+00:00,95.3,27.0895,0.022,0.025,-0.065,94,-0.06575,h1,h5,-0.065,-0.018353500000000002
32,e32-h1-h4-g2,h1,h4,2026-05-27 13:39:03.191044+00:00,95.3,28.145,0.031,0.032,-0.055,95,-0.0651,h1,h4,-0.055,-0.019636999999999998
32,e32-h2-h4-g1,h2,h4,2026-05-27 13:39:36.645338+00:00,95.4,27.349,0.022,0.036,-0.054,96,-0.06475,h2,h4,-0.054,-0.018933
33,e33-h1-h4-g2,h1,h4,2026-05-27 13:41:11.596183+00:00,95.4,38.937,0.017,0.024,-0.116,97,-0.06760000000000001,h1,h4,-0.116,-0.030150999999999997
33,e33-h2-h4-g1,h2,h4,2026-05-27 13:42:16.135791+00:00,95.4,27.084,0.023,0.038,-0.055,98,-0.06755,h2,h4,-0.055,-0.018729999999999997
33,e33-h1-h5-g0,h1,h5,2026-05-27 13:42:48.236296+00:00,95.3,30.093,0.029,0.033,-0.062,99,-0.0681,h1,h5,-0.062,-0.021611000000000002
34,e34-h1-h4-g2,h1,h4,2026-05-27 13:44:56.975812+00:00,95.4,25.774,0.022,0.038,-0.063,100,-0.06875,h1,h4,-0.063,-0.017417999999999996
34,e34-h2-h4-g1,h2,h4,2026-05-27 13:45:29.332359+00:00,95.4,28.7755,0.033,0.045,-0.059,101,-0.06875,h2,h4,-0.059,-0.020651500000000003
34,e34-h1-h5-g0,h1,h5,2026-05-27 13:46:01.519935+00:00,95.3,29.677500000000002,0.043,0.042,-0.056,102,-0.06799999999999999,h1,h5,-0.056,-0.021493500000000002
35,e35-h1-h4-g2,h1,h4,2026-05-27 13:48:07.962167+00:00,95.3,29.430500000000002,0.035,0.039,-0.075,103,-0.0658,h1,h4,-0.075,-0.021140500000000003
35,e35-h1-h5-g0,h1,h5,2026-05-27 13:48:40.815278+00:00,95.4,39.0545,0.019,0.027,-0.065,104,-0.06355000000000001,h1,h5,-0.065,-0.0303625
35,e35-h2-h4-g1,h2,h4,2026-05-27 13:49:12.605247+00:00,95.4,26.1635,0.018,0.03,-0.052,105,-0.06275,h2,h4,-0.052,-0.017559500000000002
36,e36-h2-h4-g1,h2,h4,2026-05-27 13:50:48.238599+00:00,95.4,28.423000000000002,0.031,0.041,-0.07,106,-0.0635,h2,h4,-0.07,-0.020174999999999995
36,e36-h1-h4-g2,h1,h4,2026-05-27 13:51:20.943753+00:00,95.4,38.6495,0.013,0.017,-0.059,107,-0.0638,h1,h4,-0.059,-0.029645500000000005
36,e36-h1-h5-g0,h1,h5,2026-05-27 13:52:23.868430+00:00,95.3,28.107,0.03,0.042,-0.068,108,-0.0645,h1,h5,-0.068,-0.019897
37,e37-h1-h5-g0,h1,h5,2026-05-27 13:53:59.522817+00:00,95.3,28.435,0.029,0.031,-0.055,109,-0.0645,h1,h5,-0.055,-0.019892999999999997
37,e37-h1-h4-g2,h1,h4,2026-05-27 13:54:31.297337+00:00,95.4,29.945999999999998,0.078,0.087,-0.053,110,-0.0644,h1,h4,-0.053,-0.023171999999999995
37,e37-h2-h4-g1,h2,h4,2026-05-27 13:55:36.349250+00:00,95.4,27.6345,0.022,0.034,-0.056,111,-0.0635,h2,h4,-0.056,-0.0191585
38,e38-h2-h4-g1,h2,h4,2026-05-27 13:57:45.596019+00:00,95.4,25.448,0.012,0.015,-0.052,112,-0.0629,h2,h4,-0.052,-0.016381999999999997
38,e38-h1-h4-g2,h1,h4,2026-05-27 13:58:18.095403+00:00,95.3,29.4955,0.035,0.041,-0.071,113,-0.06305000000000001,h1,h4,-0.071,-0.0212655
38,e38-h1-h5-g0,h1,h5,2026-05-27 13:58:49.753972+00:00,95.3,28.6405,0.04,0.043,-0.074,114,-0.0635,h1,h5,-0.074,-0.0204805
39,e39-h2-h4-g1,h2,h4,2026-05-27 14:00:55.559715+00:00,95.4,28.945500000000003,0.042,0.054,-0.054,115,-0.06344999999999999,h2,h4,-0.054,-0.0211095
39,e39-h1-h5-g0,h1,h5,2026-05-27 14:01:28.602340+00:00,95.3,27.966,0.019,0.019,-0.059,116,-0.06369999999999999,h1,h5,-0.059,-0.019044000000000002
39,e39-h1-h4-g2,h1,h4,2026-05-27 14:02:01.517909+00:00,95.4,37.59,0.016,0.024,-0.105,117,-0.06315,h1,h4,-0.105,-0.028802000000000005
40,e40-h1-h4-g2,h1,h4,2026-05-27 14:03:04.374420+00:00,95.3,28.808,0.041,0.045,-0.074,118,-0.0641,h1,h4,-0.074,-0.02071
40,e40-h1-h5-g0,h1,h5,2026-05-27 14:04:41.842190+00:00,95.3,29.1905,0.039,0.042,-0.055,119,-0.06375,h1,h5,-0.055,-0.020998500000000003
40,e40-h2-h4-g1,h2,h4,2026-05-27 14:05:14.082729+00:00,95.4,27.57,0.026,0.041,-0.054,120,-0.0633,h2,h4,-0.054,-0.019311999999999996
41,e41-h1-h4-g2,h1,h4,2026-05-27 14:06:49.117596+00:00,95.4,39.305499999999995,0.026,0.037,-0.066,121,-0.06365,h1,h4,-0.066,-0.030927499999999993
41,e41-h1-h5-g0,h1,h5,2026-05-27 14:07:22.067710+00:00,95.3,27.983,0.039,0.049,-0.051,122,-0.0634,h1,h5,-0.051,-0.020001
41,e41-h2-h4-g1,h2,h4,2026-05-27 14:08:27.266122+00:00,95.4,25.6565,0.012,0.013,-0.056,123,-0.06244999999999999,h2,h4,-0.056,-0.0165305
42,e42-h1-h4-g2,h1,h4,2026-05-27 14:10:33.291531+00:00,95.4,38.289500000000004,0.023,0.038,-0.122,124,-0.0653,h1,h4,-0.122,-0.029935500000000004
