state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h1', 'h12', 'util3', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.253,0.0,-0.3,1,127
"('h12', 'h1', 'util3', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.253,0.0,-0.3,1,128
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.018,0.007,-0.02,0.073,0.053,12,129
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.018,0.007,-0.02,0.073,0.053,12,130
"('h2', 'h11', 'util1', 'active1', 'rtt5', 'loss0')",3,-0.003,0.761,-0.242,0.0,0.228,1,131
"('h11', 'h2', 'util1', 'active1', 'rtt5', 'loss0')",3,-0.003,0.761,-0.242,0.0,0.228,1,132
"('h2', 'h11', 'util3', 'active1', 'rtt5', 'loss0')",3,-0.005,0.709,-0.228,0.218,0.365,3,133
"('h11', 'h2', 'util3', 'active1', 'rtt5', 'loss0')",3,-0.005,0.709,-0.228,0.218,0.365,3,134
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.0,0.059,-0.019,0.054,0.056,9,135
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.0,0.059,-0.019,0.054,0.056,9,136
"('h2', 'h11', 'util1', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.274,0.0,-0.3,2,137
"('h11', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.274,0.0,-0.3,2,138
"('h1', 'h12', 'util1', 'active1', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.297,0.0,-0.3,1,139
"('h12', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-1.0,-1.0,-0.297,0.0,-0.3,1,140
"('h1', 'h12', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.004,0.881,-0.28,0.399,0.544,6,141
"('h12', 'h1', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.004,0.881,-0.28,0.399,0.544,6,142
"('h4', 'h9', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.002,0.049,-0.018,0.077,0.069,6,143
"('h9', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.002,0.049,-0.018,0.077,0.069,6,144
"('h2', 'h11', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.287,0.0,-0.15,1,145
"('h11', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.501,-0.501,-0.287,0.0,-0.15,1,146
"('h2', 'h11', 'util3', 'active0', 'rtt0', 'loss0')",3,0.002,0.867,-0.27,-0.155,0.151,2,147
"('h11', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,0.002,0.867,-0.27,-0.155,0.151,2,148
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,0.056,-0.016,0.056,0.056,10,149
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,0.056,-0.016,0.056,0.056,10,150
"('h1', 'h12', 'util3', 'active0', 'rtt0', 'loss0')",3,0.005,0.856,-0.263,0.288,0.458,3,151
"('h12', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,0.005,0.856,-0.263,0.288,0.458,3,152
"('h2', 'h11', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.001,0.807,-0.254,-0.15,0.137,2,153
"('h11', 'h2', 'util2', 'active1', 'rtt0', 'loss0')",3,-0.001,0.807,-0.254,-0.15,0.137,2,154
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.037,-0.016,0.053,0.048,14,155
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.037,-0.016,0.053,0.048,14,156
"('h1', 'h12', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.003,0.78,-0.247,0.201,0.374,3,157
"('h12', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.003,0.78,-0.247,0.201,0.374,3,158
"('h1', 'h12', 'util2', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.292,0.0,-0.3,3,159
"('h12', 'h1', 'util2', 'active1', 'rtt0', 'loss0')",2,-1.0,-1.0,-0.292,0.0,-0.3,3,160
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,0.004,0.058,-0.015,0.044,0.048,6,161
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,0.004,0.058,-0.015,0.044,0.048,6,162
"('h1', 'h12', 'util1', 'active1', 'rtt5', 'loss0')",3,-0.004,0.865,-0.275,0.0,0.259,2,163
"('h12', 'h1', 'util1', 'active1', 'rtt5', 'loss0')",3,-0.004,0.865,-0.275,0.0,0.259,2,164
"('h2', 'h11', 'util1', 'active0', 'rtt5', 'loss0')",3,0.005,0.778,-0.238,0.417,0.526,5,165
"('h11', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,0.005,0.778,-0.238,0.417,0.526,5,166
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.03,-0.014,0.048,0.043,16,167
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.004,0.03,-0.014,0.048,0.043,16,168
"('h2', 'h11', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.501,-0.501,-0.254,0.526,0.218,6,169
"('h11', 'h2', 'util1', 'active0', 'rtt5', 'loss0')",3,-0.501,-0.501,-0.254,0.526,0.218,6,170
"('h1', 'h12', 'util3', 'active0', 'rtt5', 'loss0')",3,0.002,0.83,-0.258,0.232,0.411,6,171
"('h12', 'h1', 'util3', 'active0', 'rtt5', 'loss0')",3,0.002,0.83,-0.258,0.232,0.411,6,172
"('h4', 'h9', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,0.045,-0.013,0.056,0.053,12,173
"('h9', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,0.001,0.045,-0.013,0.056,0.053,12,174
"('h4', 'h9', 'util1', 'active0', 'rtt0', 'loss0')",3,0.001,0.044,-0.012,0.043,0.043,18,175
"('h9', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,0.001,0.044,-0.012,0.043,0.043,18,176
