state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.063,0.006,-0.065,0.013,0.011,7,144
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.06,0.02,-0.066,0.014,0.016,9,145
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.06,0.02,-0.066,0.014,0.016,9,146
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.054,0.033,-0.064,0.0,0.009,2,147
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.054,0.033,-0.064,0.0,0.009,2,148
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.059,0.015,-0.064,0.008,0.01,9,149
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.059,0.015,-0.064,0.008,0.01,9,150
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.091,-0.091,-0.066,0.0,-0.025,4,151
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.091,-0.091,-0.066,0.0,-0.025,4,152
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.072,-0.019,-0.066,0.016,0.006,11,153
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.072,-0.019,-0.066,0.016,0.006,11,154
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.059,0.024,-0.066,0.011,0.014,7,155
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.059,0.024,-0.066,0.011,0.014,7,156
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.067,-0.003,-0.066,0.021,0.015,10,157
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.067,-0.003,-0.066,0.021,0.015,10,158
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.066,0.001,-0.066,0.009,0.007,6,159
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.066,0.001,-0.066,0.009,0.007,6,160
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.063,0.003,-0.064,0.01,0.008,11,161
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.063,0.003,-0.064,0.01,0.008,11,162
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.006,-0.066,0.006,0.003,12,163
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.006,-0.066,0.006,0.003,12,164
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.069,-0.016,-0.064,0.008,0.001,13,165
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.069,-0.016,-0.064,0.008,0.001,13,166
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.038,-0.066,0.007,0.015,8,167
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.054,0.038,-0.066,0.007,0.015,8,168
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.065,-0.023,-0.008,2,169
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.031,-0.065,-0.023,-0.008,2,170
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.057,0.024,-0.065,0.0,0.007,2,171
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.057,0.024,-0.065,0.0,0.007,2,172
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.059,0.017,-0.064,0.009,0.011,3,173
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.059,0.017,-0.064,0.009,0.011,3,174
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.069,0.0,-0.034,1,175
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.069,0.0,-0.034,1,176
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.056,0.024,-0.063,-0.006,0.003,2,177
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.056,0.024,-0.063,-0.006,0.003,2,178
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.07,-0.016,-0.065,0.015,0.006,11,179
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.07,-0.016,-0.065,0.015,0.006,11,180
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.062,0.005,-0.063,0.001,0.002,16,181
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.062,0.005,-0.063,0.001,0.002,16,182
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.026,-0.068,0.015,0.019,10,183
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.026,-0.068,0.015,0.019,10,184
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.015,-0.065,0.007,0.001,4,185
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.015,-0.065,0.007,0.001,4,186
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.053,0.029,-0.063,0.002,0.01,17,187
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.053,0.029,-0.063,0.002,0.01,17,188
"('h2', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.062,0.01,-0.065,0.017,0.015,8,189
"('h4', 'h2', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.062,0.01,-0.065,0.017,0.015,8,190
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.084,-0.084,-0.069,-0.04,-0.052,6,191
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.084,-0.084,-0.069,-0.04,-0.052,6,192
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.029,-0.069,0.019,0.021,11,193
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.06,0.029,-0.069,0.019,0.021,11,194
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.061,0.005,-0.063,0.011,0.01,5,195
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.061,0.005,-0.063,0.011,0.01,5,196
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.064,0.003,-0.065,0.006,0.005,14,197
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.064,0.003,-0.065,0.006,0.005,14,198
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.111,-0.111,-0.065,-0.042,-0.061,5,199
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.111,-0.111,-0.065,-0.042,-0.061,5,200
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.069,-0.011,-0.065,0.012,0.006,6,201
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.069,-0.011,-0.065,0.012,0.006,6,202
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.082,-0.082,-0.066,0.0,-0.023,2,203
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.082,-0.082,-0.066,0.0,-0.023,2,204
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.064,0.015,-0.069,0.0,0.004,3,205
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.064,0.015,-0.069,0.0,0.004,3,206
"('h1', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.06,0.015,-0.065,0.0,0.004,1,207
"('h4', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.06,0.015,-0.065,0.0,0.004,1,208
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.003,-0.069,0.0,-0.001,1,209
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.003,-0.069,0.0,-0.001,1,210
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.056,0.026,-0.065,0.01,0.014,20,211
