state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.004,-0.063,-0.002,-0.0,3,108
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.02,-0.059,0.008,-0.0,6,109
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.065,-0.02,-0.059,0.008,-0.0,6,110
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.029,-0.063,0.008,0.014,6,111
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.029,-0.063,0.008,0.014,6,112
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.045,-0.066,0.004,0.016,5,113
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.052,0.045,-0.066,0.004,0.016,6,114
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.082,-0.07,-0.06,0.0,-0.02,2,115
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.082,-0.07,-0.06,0.0,-0.02,2,116
"('h1', 'h5', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.085,-0.066,-0.064,0.0,-0.019,1,117
"('h5', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.085,-0.066,-0.064,0.0,-0.019,1,118
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,0.023,-0.065,0.0,0.006,2,119
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.058,0.023,-0.065,0.0,0.006,1,120
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.012,-0.061,0.0,-0.003,3,121
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.064,-0.012,-0.061,0.0,-0.003,3,122
"('h1', 'h5', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.063,0.005,-0.064,0.0,0.001,1,123
"('h5', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",4,-0.063,0.005,-0.064,0.0,0.001,1,124
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.019,-0.06,0.006,0.009,4,125
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.054,0.019,-0.06,0.006,0.009,4,126
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.066,-0.067,-0.02,-0.033,2,127
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.087,-0.066,-0.067,0.0,-0.018,3,128
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.013,-0.064,0.003,-0.001,4,129
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.068,-0.013,-0.064,0.003,-0.001,4,130
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.061,0.017,-0.066,0.008,0.011,5,131
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.061,0.017,-0.066,0.008,0.011,5,132
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.079,-0.057,-0.061,0.003,-0.013,3,133
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.079,-0.057,-0.061,0.003,-0.013,3,134
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.061,0.001,-0.061,0.003,0.003,5,135
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.061,0.001,-0.061,0.003,0.003,5,136
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.018,-0.065,-0.003,-0.007,3,137
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.07,-0.018,-0.065,-0.003,-0.007,3,138
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.058,0.024,-0.066,0.013,0.016,7,139
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.058,0.024,-0.066,0.013,0.016,7,140
"('h2', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.06,0.017,-0.065,0.016,0.016,7,141
"('h4', 'h2', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.06,0.017,-0.065,0.016,0.016,8,142
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.011,-0.065,0.0,0.003,2,143
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.062,0.011,-0.065,0.0,0.003,2,144
"('h1', 'h5', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.062,0.008,-0.064,0.014,0.012,7,145
"('h5', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.062,0.008,-0.064,0.014,0.012,7,146
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.056,0.024,-0.064,-0.0,0.006,4,147
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.056,0.024,-0.064,-0.0,0.006,4,148
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.069,-0.022,-0.062,0.009,0.001,5,149
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",4,-0.069,-0.022,-0.062,0.009,0.001,5,150
