state,action_len,reward,target,baseline,old_q,new_q,action_trials,update
"('h5', 'h1', 'util2', 'active0', 'rtt0', 'loss0')",4,-0.151,-0.151,-0.148,0.0,-0.033,7,124
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.154,-0.05,-0.067,6,125
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.128,-0.128,-0.154,-0.05,-0.067,6,126
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.143,-0.143,-0.148,-0.037,-0.06,5,127
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.143,-0.143,-0.148,-0.037,-0.06,5,128
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.148,-0.037,-0.064,6,129
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.148,-0.037,-0.064,6,130
"('h1', 'h4', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.158,0.0,-0.036,1,131
"('h4', 'h1', 'util0', 'active1', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.158,0.0,-0.036,1,132
"('h2', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.153,-0.03,-0.052,5,133
"('h4', 'h2', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.131,-0.131,-0.153,-0.03,-0.052,5,134
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.153,0.0,-0.037,3,135
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.168,-0.168,-0.153,0.0,-0.037,3,136
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.157,-0.086,-0.095,10,137
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.157,-0.086,-0.095,10,138
"('h2', 'h4', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.152,0.0,-0.028,6,139
"('h4', 'h2', 'util3', 'active1', 'rtt0', 'loss0')",3,-0.125,-0.125,-0.152,0.0,-0.028,6,140
"('h1', 'h4', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.157,-0.035,-0.062,4,141
"('h4', 'h1', 'util0', 'active0', 'rtt0', 'loss0')",3,-0.159,-0.159,-0.157,-0.035,-0.062,4,142
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.15,-0.15,-0.148,-0.03,-0.056,5,143
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.15,-0.15,-0.148,-0.03,-0.056,5,144
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.152,-0.035,-0.062,5,145
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.158,-0.158,-0.152,-0.035,-0.062,5,146
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.157,0.0,-0.034,3,147
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.157,0.0,-0.034,3,148
"('h2', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.152,-0.029,-0.052,4,149
"('h4', 'h2', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.13,-0.13,-0.152,-0.029,-0.052,4,150
"('h1', 'h5', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.148,-0.056,-0.074,7,151
"('h5', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",4,-0.136,-0.136,-0.148,-0.056,-0.074,7,152
"('h1', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.157,0.0,-0.034,5,153
"('h4', 'h1', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.154,-0.154,-0.157,0.0,-0.034,5,154
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.148,-0.1,-0.114,12,155
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.162,-0.162,-0.148,-0.1,-0.114,12,156
"('h2', 'h4', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.137,-0.137,-0.151,-0.029,-0.053,3,157
"('h4', 'h2', 'util3', 'active0', 'rtt0', 'loss0')",3,-0.137,-0.137,-0.151,-0.029,-0.053,3,158
"('h1', 'h4', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.161,-0.161,-0.157,-0.112,-0.122,11,159
"('h4', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",3,-0.161,-0.161,-0.157,-0.112,-0.122,11,160
"('h1', 'h5', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.144,-0.144,-0.148,-0.036,-0.06,5,161
"('h5', 'h1', 'util1', 'active0', 'rtt0', 'loss0')",4,-0.144,-0.144,-0.148,-0.036,-0.06,5,162
"('h1', 'h4', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.155,-0.034,-0.053,5,163
"('h4', 'h1', 'util1', 'active1', 'rtt0', 'loss0')",3,-0.121,-0.121,-0.155,-0.034,-0.053,5,164
"('h2', 'h4', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.142,-0.142,-0.151,-0.062,-0.08,6,165
"('h4', 'h2', 'util2', 'active0', 'rtt0', 'loss0')",3,-0.142,-0.142,-0.151,-0.062,-0.08,6,166
